date,ticker,firm_low,firm_high,prev_close,atm_iv,call_iv,put_iv,iv_skew,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,iv_1s_hit,iv_2s_hit,rv_1s_hit,rv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-12,AAPL,273.000000,287.000000,278.000000,,,,,0.009608,2025-12-15,273.601654,279.630462,272.334020,275.328868,280.671132,272.657735,283.342265,,,,,275.328868,280.671132,272.657735,283.342265,True,False,False,False,True,False,True
2025-12-12,AMZN,225.000000,237.000000,230.000000,,,,,0.016584,2025-12-15,222.539993,227.929993,221.500000,226.185726,233.814274,222.371452,237.628548,,,,,226.185726,233.814274,222.371452,237.628548,False,False,False,False,True,False,True
2025-12-12,META,627.000000,674.000000,653.000000,,,,,0.017288,2025-12-15,646.357056,651.837270,637.562745,641.711206,664.288794,630.422413,675.577587,,,,,641.711206,664.288794,630.422413,675.577587,True,False,False,True,True,True,True
2025-12-12,GOOGL,310.000000,325.000000,312.000000,,,,,0.021849,2025-12-15,307.819305,311.015158,304.483651,305.183160,318.816840,298.366321,325.633679,,,,,305.183160,318.816840,298.366321,325.633679,False,False,False,True,True,True,True
2025-12-12,NFLX,88.000000,98.000000,94.000000,,,,,0.025476,2025-12-15,93.769997,96.370003,93.529999,91.605230,96.394770,89.210461,98.789539,,,,,91.605230,96.394770,89.210461,98.789539,True,False,False,True,True,True,True
2025-12-12,TSLA,434.000000,465.000000,447.000000,,,,,0.022410,2025-12-15,475.309998,481.769989,467.660004,436.982825,457.017175,426.965650,467.034350,,,,,436.982825,457.017175,426.965650,467.034350,False,False,False,False,False,False,False
2025-12-12,NVDA,176.000000,186.000000,181.000000,,,,,0.019673,2025-12-15,176.280457,178.410346,175.020530,177.439270,184.560730,173.878539,188.121461,,,,,177.439270,184.560730,173.878539,188.121461,True,False,False,False,True,False,True
2025-12-12,ORCL,187.000000,212.000000,199.000000,,,,,0.037409,2025-12-15,183.790558,187.815825,180.292053,191.555647,206.444353,184.111295,213.888705,,,,,191.555647,206.444353,184.111295,213.888705,False,False,False,False,False,False,False
2025-12-15,MSFT,471.000000,491.000000,479.000000,,,,,0.014201,2025-12-16,474.277924,475.771273,468.792343,472.197958,485.802042,465.395917,492.604083,,,,,472.197958,485.802042,465.395917,492.604083,True,False,False,True,True,True,True
2025-12-15,AAPL,273.000000,287.000000,278.000000,,,,,0.010241,2025-12-16,274.100739,274.989103,271.285991,275.153074,280.846926,272.306147,283.693853,,,,,275.153074,280.846926,272.306147,283.693853,True,False,False,False,True,False,True
