date,ticker,firm_low,firm_high,prev_close,sigma_daily,next_date,actual_close,actual_high,actual_low,rv_1s_low,rv_1s_high,rv_2s_low,rv_2s_high,atm_iv,iv_status,iv_1s_low,iv_1s_high,iv_2s_low,iv_2s_high,blend_1s_low,blend_1s_high,blend_2s_low,blend_2s_high,firm_hit,rv_1s_hit,rv_2s_hit,iv_1s_hit,iv_2s_hit,blend_1s_hit,blend_2s_hit
2025-12-05,NVDA,176.000000,186.000000,183.000000,0.024476,2025-12-08,185.539963,187.989827,182.390124,178.520907,187.479093,174.041813,191.958187,0.350432,contaminated_live,178.960252,187.039748,174.920504,191.079496,178.828448,187.171552,174.656896,191.343104,True,True,True,True,True,True,True
2025-12-05,ORCL,192.000000,223.000000,214.000000,0.029725,2025-12-08,219.192993,223.377286,215.585175,207.638750,220.361250,201.277500,226.722500,0.415748,contaminated_live,208.395411,219.604589,202.790822,225.209178,208.168413,219.831587,202.336826,225.663174,True,True,True,True,True,True,True
2025-12-05,TSLA,408.000000,462.000000,455.000000,0.028830,2025-12-08,439.579987,449.750000,435.250000,441.882319,468.117681,428.764638,481.235362,0.320035,contaminated_live,445.827067,464.172933,436.654134,473.345866,444.643642,465.356358,434.287285,475.712715,True,False,True,False,True,False,True
2025-12-08,AAPL,273.000000,288.000000,279.000000,0.010742,2025-12-09,276.665955,279.510675,276.406457,276.002934,281.997066,273.005868,284.994132,0.142085,contaminated_live,276.502804,281.497196,274.005607,283.994393,276.352843,281.647157,273.705685,284.294315,True,True,True,True,True,True,True
2025-12-08,AMZN,223.000000,238.000000,230.000000,0.017488,2025-12-09,227.919998,228.570007,225.110001,225.977865,234.022135,221.955729,238.044271,0.211678,contaminated_live,226.933077,233.066923,223.866154,236.133846,226.646513,233.353487,223.293026,236.706974,True,True,True,True,True,True,True
2025-12-08,GOOGL,311.000000,330.000000,321.000000,0.023739,2025-12-09,316.667786,317.576606,311.494527,313.379830,328.620170,305.759659,336.240341,0.171833,contaminated_live,317.525350,324.474650,314.050700,327.949300,316.281694,325.718306,311.563388,330.436612,True,True,True,False,True,True,True
2025-12-08,META,608.000000,680.000000,673.000000,0.018086,2025-12-09,655.255798,662.756249,651.645194,660.828311,685.171689,648.656621,697.343379,0.370389,contaminated_live,657.297351,688.702649,641.594703,704.405297,658.356639,687.643361,643.713278,702.286722,True,False,True,False,True,False,True
2025-12-08,MSFT,469.000000,494.000000,483.000000,0.014240,2025-12-09,489.838593,489.938155,486.334210,476.122159,489.877841,469.244319,496.755681,0.197835,contaminated_live,476.980639,489.019361,470.961279,495.038721,476.723095,489.276905,470.446191,495.553809,True,True,True,False,True,False,True
2025-12-08,NFLX,97.000000,108.000000,100.000000,0.025123,2025-12-09,96.709999,97.239998,95.449997,97.487744,102.512256,94.975489,105.024511,0.232901,contaminated_live,98.532864,101.467136,97.065728,102.934272,98.219328,101.780672,96.438656,103.561344,False,False,True,False,False,False,True
2025-12-08,NVDA,176.000000,186.000000,182.000000,0.024822,2025-12-09,184.959991,185.709951,183.310087,177.482447,186.517553,172.964895,191.035105,0.350432,contaminated_live,177.982327,186.017673,173.964654,190.035346,177.832363,186.167637,173.664726,190.335274,True,True,True,True,True,True,True
2025-12-08,ORCL,188.000000,224.000000,218.000000,0.029836,2025-12-09,220.176956,221.260295,216.946806,211.495849,224.504151,204.991699,231.008301,0.415748,contaminated_live,212.290652,223.709348,206.581305,229.418695,212.052211,223.947789,206.104423,229.895577,True,True,True,True,True,True,True
2025-12-08,TSLA,419.000000,463.000000,455.000000,0.028637,2025-12-09,445.170013,452.390015,435.700012,441.970223,468.029777,428.940446,481.059554,0.320035,contaminated_live,445.827067,464.172933,436.654134,473.345866,444.670014,465.329986,434.340027,475.659973,True,True,True,False,True,True,True
2025-12-09,AAPL,273.000000,287.000000,278.000000,0.010765,2025-12-10,278.263000,279.231203,275.927344,275.007350,280.992650,272.014699,283.985301,0.142085,contaminated_live,275.511754,280.488246,273.023508,282.976492,275.360433,280.639567,272.720865,283.279135,True,True,True,True,True,True,True
2025-12-09,AMZN,224.000000,237.000000,227.000000,0.016973,2025-12-10,231.779999,232.419998,228.460007,223.147125,230.852875,219.294250,234.705750,0.211678,contaminated_live,223.973080,230.026920,220.946160,233.053840,223.725294,230.274706,220.450587,233.549413,True,False,True,False,True,False,True
